Producto;Medida;Tipo;Categoría;Cantidad;Unidad;Precio sugerido
Tanza;3 mm;cuadrada;Productos de Jardinería;5;rollo;$14.000
Caño corrugado PVC;3/4;electricidad;Electricidad e iluminación;10;rollos;$14.000
Reflector;20 W;Sin tipo;Electricidad e iluminación;4;unidad;$11.900
